,filename,code,x_from,y_from,width,height
0,images/c234c76c-d72d-4d60-8066-e99f62361c1c--ru.a6a77966-14c1-49d8-bdd3-c9cbf12ae35d.jpg,4810153026194,210,542,279,143
1,images/0b56af7e-386c-410a-8f46-74350f755d77--ru.4c7208d1-cba4-4539-967d-1c87ad0f6d2e.jpg,8714100708408,216,474,409,308
2,images/77c7bd8d-bb64-4c4b-94c5-798a903eaa4d--ru.12f5929c-9d0e-49e5-9300-4aa2bd63bc51.jpg,4820240030508,173,657,589,293
3,images/5d60b81b-e31d-4530-bed1-27a8872d1f02--ru.53fed99f-fe97-435b-a4d4-57f1ed6d9f21.jpg,4607001770350,66,665,549,176
4,images/bb225480-a447-4232-85ab-ce22f1dec070--ru.09dd5220-73bc-4ca1-b42e-b6003ee8b311.jpg,4605035006964,269,592,448,247
5,images/6e042372-20ec-4a26-8340-3653cf0c681d--ru.407738ff-e321-4f6c-8a9d-d9c146d3d801.jpg,4690363095759,23,849,230,125
6,images/709c106e-41f8-4266-b22d-bcd8841a6aaf--ru.2da223e1-b4e2-4b5e-b38b-9abb2b7ebd61.jpg,4690326198893,169,164,522,166
7,images/3ffa7796-cc4b-4c00-9941-4c88464ac6ed--ru.97512ecb-b3e9-4fa8-b40b-8cc4f2bd7528.jpg,4606203103423,536,1875,1628,819
8,images/2502fbe4-a8f9-40c5-a502-3e15d2942e47--ru.a671844b-c029-4903-b4e1-d07141c5c577.jpg,7622201105716,301,445,513,345
9,images/48f946b1-7eef-4f59-8bd6-d39d48ea5eb2--ru.a6eb0b7e-85d5-42e7-9569-170a19ecff1e.jpg,4600433600615,252,266,534,318
10,images/ec62a12b-6b8f-4752-95a5-1befc9766a0f--ru.f839a614-5710-46b8-9be7-5311f3af1992.jpg,4670007360047,840,626,1955,1011
11,images/636f3011-ee46-4e5a-a86b-85e954b325b5--ru.fe802834-eca5-46b5-a009-0de7a6b30d96.jpg,4605496020035,200,255,518,340
12,images/90243654-a547-4fb0-bb8f-aa2d2b440a39--ru.af26012d-e018-4cd2-b926-ff9f951b7593.jpg,4600288020477,337,672,452,217
13,images/4edcaf5f-f7a8-41ab-9cf3-1ca8582e0f47--ru.10740536-06ff-4486-a124-b42a3cf3d81b.jpg,4630038960890,357,655,503,287
14,images/26ed90e2-9a8c-448f-a274-d93987c09757--ru.6cb4596a-2469-469e-a64e-5089bec9163a.jpg,4607051154063,354,614,464,177
15,images/d24a008b-f36e-4410-a58c-220144820192--ru.452ca2da-832a-459d-aaf8-8539306084a0.jpg,4620015853864,460,804,412,185
16,images/076870e1-2e05-40e5-a106-de2a4ea9077b--ru.30d3c8e3-f945-452d-8783-8505a6eb0a0e.jpg,4606088002286,74,1776,1222,401
17,images/8c2ddc37-abb2-410a-9b34-78f7b94666bd--ru.23e0d7c7-05e4-4045-ad3d-f5350492f11f.jpg,4604248000844,265,945,364,236
18,images/fe3cd088-6311-423c-9207-c438c51aa4f6--ru.c5197f00-662f-401e-8271-4418f70dcb52.jpg,4607003246273,316,1175,256,140
19,images/5f625b96-67ae-4000-9d1c-840f720e2897--ru.c5374577-05a3-457f-8c58-b5258c23e959.jpg,4630007400419,1107,784,1796,904
20,images/dd09fd7c-3cfa-4848-9508-f8ebbfde5ba4--ru.5a47f4b5-25e7-4010-8cc9-30c34fccdb71.jpg,4680295072904,108,1021,282,128
21,images/77c7bd8d-bb64-4c4b-94c5-798a903eaa4d--ru.12f5929c-9d0e-49e5-9300-4aa2bd63bc51.jpg,4820240030508,173,657,589,293
22,images/84d82001-d612-4f61-8097-9ef6a68850c7--ru.564c52cb-4b06-452f-9261-1bdfdd5e7cd6.jpg,4605246010651,172,1078,718,390
23,images/92cdb08d-25ab-489f-ace4-68e11958d93b--ru.19fc5d60-ba81-49ef-b740-d78531814115.jpg,4601669000675,141,429,627,280
24,images/b10353bc-dae8-4d42-a6cc-94283b40a3b7--ru.24544306-09e5-4e21-a408-e7c3510448fc.jpg,4602481104473,228,725,477,334
25,images/9f1aed2e-c1ea-4efa-9f7c-167317294762--ru.2e41472c-cced-439c-80ea-800183c6a23c.jpg,4603933007458,144,688,357,152
26,images/b3fdc9d8-73c0-403d-b131-6806899bf1f0--ru.bf5e5c7e-8255-4b5c-9554-f89d54092323.jpg,4606949066204,70,951,648,272
